terms,categories,DisciplineBroadArea
chemical sciences,chemistry,Chemistry; Multidisciplinary 
"chemical, biochemical and environmental engineering","chemical engineering, biochemical engineering, environmental engineering",Engineering; Chemical
chemistry,chemistry,Chemistry; Multidisciplinary 
chemistry and biochemistry,"chemistry, biochemistry",Biochemistry & Molecular Biology
chemistry of life processes,chemistry of life processes,Chemistry; Multidisciplinary 
chemistry/pharmaceutics,"chemistry, pharmaceutics",Chemistry; Multidisciplinary 
chronometry,chronometry,Instruments & Instrumentation
civil and environmental engineering,"civil engineering, environmental engineering",Engineering; Civil 
civil engineering,civil engineering,Engineering; Civil
"civil, environmental, and sustainable engineering","civil engineering, environmental engineering, sustainable engineering",Engineering; Civil 
civil/environmental engineering,"civil engineering, environmental engineering",Engineering; Civil 
climate dynamics,climate dynamics,Environmental Sciences 
climate modeling,climate modeling,Environmental Sciences 
climate science,climatology,Environmental Sciences
climatology,climatology,Environmental Sciences 
clinical disciplines,clinical disciplines,Health Policy & Services 
clinical psychology,clinical psychology,Psychology; Clinical 
coastal and marine system science (cmss),"coastal science, marine system science",Marine & Freshwater Biology 
coastal ocean sciences,coastal ocean science,Marine & Freshwater Biology 
cognitive and linguistic sciences,"cognitive science, linguistics",Language & Linguistics 
cognitive neuroscience,cognitive neuroscience,Neurosciences 
cognitive psychology,cognitive psychology,Psychology
cognitive science,cognitive science,Psychology
cognitive sciences,cognitive science,Psychology 
cold regions research,cold regions research,Environmental Sciences 
colloid and interface science,"colloid science, interface science",Physics; Atomic; Molecular & Chemical 
communication science,communication science,Psychology
communication science and disorders,"communication science, communication disorders",Psychology
communication sciences,communication science,Psychology
comparative and experimental functional morphology,"comparative morphology, experimental functional morphology",Anatomy & Morphology 
comparative neuroscience,comparative neuroscience,Neurosciences 
complex networks and systems (cns),complex networks and systems,Computer Science; Cybernetics 
complex systems,complex systems,Computer Science; Cybernetics 
computational and data sciences,"computational science, data science",Computer Science; Information Systems 
computational bio-imaging,computational bio-imaging,Imaging Science & Photographic Technology 
computational biology,computational biology,Mathematical & Computational Biology
computational chemistry,computational chemistry,Chemistry
computational data science,computational data science,Computer Science; Information Systems
computational engineering,computational engineering,Engineering; Multidisciplinary
computational genomics,computational genomics,Genetics & Heredity 
computational materials science,computational materials science,Materials Science; Characterization & Testing 
computational mathematics,computational mathematics,Computer Science; Information Systems
computational molecular biology,computational molecular biology,Biochemistry & Molecular Biology 
computational neuroscience,computational neuroscience,Neurosciences 
computational phylogenetics,computational phylogenetics,Genetics & Heredity 
computational physiology,computational physiology,Physiology 
computational science,computer science,Computer Science; Theory & Methods 
computational sciences,computational science,Computer Science; Theory & Methods 
computational statistics,computational statistics,Computer Science; Information Systems
computer and information science and engineering,"computer science, information science, computer engineering, information engineering",Computer Science; Theory & Methods 
computer and system sciences,"computer science, system science",Computer Science; Theory & Methods 
computer engineering,computer engineering,Computer Science; Information Systems
computer science,computer science,Computer Science; Theory & Methods
computer science and behavioral science,"computer science, behavioral science",Computer Science; Theory & Methods 
computer science and engineering,"computer science, computer engineering",Computer Science; Theory & Methods 
computer sciences,computer science,Computer Science; Theory & Methods 
computer vision,computer vision,Computer Science; Theory & Methods 
computer/signal processing,"computer processing, signal processing",Computer Science; Theory & Methods 
computing science,computer science,Computer Science; Theory & Methods 
computing-related disciplines,computer science,Computer Science; Theory & Methods 
conservation biology,conservation biology,Biodiversity Conservation 
conservation biology and biodiversity assessment,conservation biology,Biodiversity Conservation 
conservation science,conservation science,Biodiversity Conservation 
controlled environment agriculture systems,controlled environment agriculture systems,Agriculture; Multidisciplinary 
creative writing,creative writing,Literature
crop sciences,crop science,Agriculture; Multidisciplinary 
cryptography,cryptography,Computer Science; Information Systems 
cultural studies,cultural studies,Cultural Studies
cyber-physical systems,cyber-physical systems,Computer Science; Cybernetics 
cyber-physical systems (cps),cyber-physical systems,Computer Science; Cybernetics 
cybersecurity,cybersecurity,Computer Science; Hardware & Architecture
cybersecurity education research and outreach center,cybersecurity,Computer Science; Information Systems 
data analysis,data analytics,Computer Science; Information Systems 
data analytics,data analytics,Computer Science; Information Systems 
data science,data science,Computer Science; Information Systems
data visualization,data visualization,Computer Science; Information Systems 
data-enabled science,data science,Computer Science; Information Systems 
decision science,decision science,Behavioral Sciences 
decision systems,decision systems,Behavioral Sciences 
degree programs in engineering,engineering,Engineering; Mechanical 
demography,demography,Demography
design,design,
development studies,development studies,Psychology; Developmental
developmental biology,developmental biology,Developmental Biology
developmental studies,developmental studies,Psychology; Developmental 
device engineering,device engineering,Engineering; Mechanical 
different engineering programs,engineering,Engineering; Mechanical 
diplomacy,diplomacy,Political Science
distributed data analytics,distributed data analytics,Computer Science; Information Systems 
earth & environmental engineering,"earth engineering, environmental engineering",Engineering; Environmental 
earth & environmental sciences,"earth science, environmental science",Environmental Sciences
earth and climate science,"earth science, climate science",Environmental Sciences
earth science,earth science,Environmental Sciences
earth sciences,earth science,Environmental Sciences
earth system science,earth system science,Environmental Sciences
earth system science programs,earth system science,Environmental Sciences
earth system sciences,earth system science,Environmental Sciences
earth systems science,earth system science,Environmental Sciences
ecological genetics,ecological genetics,Ecology 
ecological modeling,ecological modeling,Environmental Sciences
ecology,ecology,Ecology
ecology and evolution,"ecology, evolutionary biology",Ecology 
ecology and evolutionary biology,"ecology, evolutionary biology",Ecology 
economic science,economics,Economics 
economic sciences,economics,Economics 
economics,economics,Economics
ecophysiology,ecophysiology,Physiology 
ecosystem and environmental science,"ecosystem science, environmental science",
ecosystem science,ecosystem science,Environmental Sciences
ecosystem sciences,ecosystem science,Environmental Sciences
education,education science,Education & Educational Research
education and human resources,education science,Education & Educational Research 
education research,education science,Education & Educational Research 
education science,education science,Education & Educational Research
education sciences,education science,Education & Educational Research 
educational psychology,educational psychology,Psychology
electric engineering,electrical engineering,Engineering; Electrical & Electronic 
electrical & computer engineering,"electrical engineering, computer engineering",Engineering; Electrical & Electronic 
electrical & mechanical engineering,"electrical engineering, mechanical engineering",Engineering; Electrical & Electronic 
electrical and bioengineering,"electrical engineering, bioengineering",Engineering; Electrical & Electronic 
electrical and chemical engineering,"electrical engineering, chemical engineering",Engineering; Electrical & Electronic 
electrical and computer engineering,"electrical engineering, computer engineering",Engineering; Electrical & Electronic 
electrical and computer engineering (ece),"electrical engineering, computer engineering",Engineering; Electrical & Electronic 
electrical and computer systems engineering,"electrical engineering, computer systems engineering",Engineering; Electrical & Electronic 
electrical engineering,electrical engineering,Engineering; Electrical & Electronic
electronics,electronics,Engineering; Electrical & Electronic
elemental chemistry,elemental chemistry,Chemistry; Inorganic & Nuclear 
embryology,embryology,Developmental Biology 
energy and environmental policy,"energy policy, environmental policy",
energy science,energy science,Energy & Fuels 
engineering,engineering,Engineering; Multidisciplinary 
engineering (eng),engineering,Engineering; Multidisciplinary 
engineering and life science,"engineering, life science",Engineering; Biomedical 
engineering and mathematics,"engineering, mathematics",Mathematical & Computational Biology 
engineering design,engineering design,Engineering; Multidisciplinary
engineering disciplines,engineering,Engineering; Multidisciplinary 
engineering education research,engineering education,Engineering; Multidisciplinary 
engineering immunological soft materials,materials engineering,Engineering; Industrial 
engineering physics,engineering physics,Engineering; Multidisciplinary
engineering research,engineering,Engineering; Multidisciplinary
engineering science,engineering,Engineering; Multidisciplinary
engineering science and mechanics,"engineering, mechanics",Engineering; Mechanical 
english,english,Language & Linguistics
entomological biology,entomology,Entomology 
entomology,entomology,Entomology
entomology/life sciences,"entomology, life science",Entomology 
entrepreneurship,entrepreneurship,Business
environment and earth sciences,"environmental science, earth science",Environmental Sciences 
environmental and natural resources sciences,"environmental science, natural resources science",Environmental Sciences 
environmental biology,environmental biology,Biodiversity Conservation 
environmental conservation,environmental conservation,Environmental Sciences
environmental design,environmental design,Environmental Sciences
environmental discipline,environmental science,Environmental Sciences
environmental economics,environmental economics,Agricultural Economics & Policy
environmental engineering,environmental engineering,Engineering; Environmental
environmental ethics,environmental ethics,Ethics 
environmental health,environmental health,Environmental Sciences
environmental management,environmental management,Environmental Sciences
environmental manufacturing management,environmental manufacturing management,Environmental Sciences
environmental microbiology,environmental microbiology,Biotechnology & Applied Microbiology
environmental modeling and prediction,environmental modeling,Environmental Sciences
environmental policy,environmental policy,Public Administration 
environmental science,environmental science,Environmental Sciences
environmental science and engineering,"environmental science, environmental engineering",
environmental science policy,environmental policy,Public Administration 
environmental sciences,environmental science,Environmental Sciences
environmental social sciences,environmental social science,Social Sciences; Interdisciplinary 
environmental sociology,environmental sociology,Social Sciences; Interdisciplinary
environmental studies,environmental studies,Environmental Studies
environmental systems,environmental systems,Environmental Sciences
epidemiology,epidemiology,Infectious Diseases 
ethical domains,ethics,Ethics
ethics,ethics,Ethics
ethnography,ethnography,Anthropology 
evolutionary and developmental biology,"evolutionary biology, developmental biology",Developmental Biology 
evolutionary biology,evolutionary biology,Evolutionary Biology
evolutionary developmental biology,evolutionary developmental biology,Developmental Biology 
evolutionary ecology,evolutionary ecology,Ecology 
evolutionary primatology,evolutionary primatology,Evolutionary Biology
evolutionary research,evolutionary research,Evolutionary Biology
exercise science,exercise science,Health Care Sciences & Services
exercise sciences,exercise science,Health Care Sciences & Services
experimental psychology,experimental psychology,Psychology
federal policy,federal policy,Public Administration 
fisheries,fisheries,Fisheries
fisheries science,fisheries,Fisheries
flexible electronics,flexible electronics,Engineering; Electrical & Electronic 
flexible neural electronics,flexible neural electronics,Engineering; Electrical & Electronic 
food biochemistry,food biochemistry,Biochemistry & Molecular Biology
food science,food science,Food Science & Technology
forensic engineering,forensic engineering,Engineering; Biomedical 
forensics,forensics,Law 
forest ecology,forest ecology,Forestry
forest ecology and management,"forest ecology, forest management",Forestry
forest ecosystems,forest ecosystems,Forestry
forest management,forest management,Forestry
forest resources,forestry,Forestry
forestry,forestry,Forestry
forestry and wildlife sciences,"forestry, wildlife science",Forestry
freshwater ecology,freshwater ecology,Marine & Freshwater Biology 
functional anatomy and evolution,evolutionary biology,Evolutionary Biology 
functional genomics,functional genomics,Evolutionary Biology 
game design,game design,Hospitality; Leisure; Sport & Tourism 
game theory,game theory,Mathematics; Applied 
genetic engineering,genetic engineering,Engineering; Biomedical 
genetic engineering and society (minor),genetic engineering,Engineering; Biomedical 
genetics,genetics,Genetics & Heredity
genetics (molecular and population),"molecular genetics, population genetics",Genetics & Heredity
genome biology,genome biology,Biochemistry & Molecular Biology
genome informatics,genome informatics,Genetics & Heredity
genome sciences,genome science,Genetics & Heredity
genomic sciences,genome science,Genetics & Heredity
genomics,genomics,Biochemistry & Molecular Biology
genomics and biology,"genomics, biology",Genetics & Heredity
genomics research,genomics,Genetics & Heredity
geoarchaeology,geoarchaeology,Archaeology
geochemistry,geochemistry,Geochemistry & Geophysics
geographic information science,geographic information science,Geography; Physical 
geographic information science (giscience),geographic information science,Geography; Physical 
geography,geography,Geography
geography and environmental systems,"geography, environmental systems",Geography
geoinformatics,geoinformatics,Computer Science; Interdisciplinary Applications 
geological engineering,geological engineering,Engineering; Geological
geological science,geology,Geology
geological sciences,geology,Geology
geology,geology,Geology
geology/geochemists,geology,Geology
geometry,geometry,Mathematics
geomicrobiology,geomicrobiology,Biotechnology & Applied Microbiology 
geophysics,geophysics,Geochemistry & Geophysics
geoscience,geoscience,Geosciences; Multidisciplinary
geosciences,geoscience,Geosciences; Multidisciplinary
german,german,Literature; German; Dutch; Scandinavian
health and behavioral sciences,"health science, behavioral science",Behavioral Sciences 
health science,health science,Health Care Sciences & Services
health sciences,health science,Health Care Sciences & Services
high performance computing,high performance computing,Computer Science; Hardware & Architecture 
high-performance computing,high performance computing,Computer Science; Hardware & Architecture 
history,history,History
holographics,holographics,Imaging Science & Photographic Technology 
hominid paleobiology,hominid paleobiology,Paleontology 
horticulture,horticulture,Horticulture
human centered design,human centered design,
human centered design & engineering,"human centered design, human centered engineering",Engineering; Multidisciplinary 
human dimensions of natural resource management,natural resource management,Management 
human evolution,human evolution,Evolutionary Biology 
human factors/industrial organizational psychology,industrial organizational psychology,Psychology; Social 
human genetics,human genetics,Evolutionary Biology 
human resources,human resources,Management
human-centered science,human-centered science,
human-computer interaction,human-computer interaction,Social Issues 
humanitarian engineering,humanitarian engineering,Engineering; Multidisciplinary 
humanities,humanities,Humanities; Multidisciplinary
hydrodynamics,hydrodynamics,Physics; Fluids & Plasmas 
hydrology,hydrology,Water Resources
hydrology and atmospheric sciences,"hydrology, atmospheric science",Water Resources
hydrology science,hydrology,Water Resources
imaging science,imaging science,Imaging Science & Photographic Technology
immunology,immunology,Immunology
indigenous studies,indigenous studies,Cultural Studies 
indoor environmental science and engineering,"indoor environmental science, indoor environmental engineering",Engineering; Environmental 
industrial and systems engineering,"industrial engineering, systems engineering",Engineering; Industrial 
industrial design,industrial design,
industrial engineering,industrial engineering,Engineering; Industrial
infectious disease epidemiology,infectious disease epidemiology,Infectious Diseases 
informatics,informatics,Medical Informatics
information engineering,information engineering,Engineering; Multidisciplinary
information science,information science,Information Science & Library Science
information science and technology,"information science, information technology",Information Science & Library Science
information sciences,information science,Information Science & Library Science
information sciences and technology,"information science, information technology",Information Science & Library Science
information security,information security,Computer Science; Information Systems
information systems,information systems,Computer Science; Information Systems
information technology,information technology,Information Science & Library Science
infotechnology,infotechnology,Information Science & Library Science
infrastructure engineering,infrastructure engineering,Engineering; Industrial 
insect biology,insect biology,Biology
instruments and observational science,instruments science,Instruments & Instrumentation 
integrated coastal science,integrated coastal science,Oceanography
integrative bioscience,integrative bioscience,Biology
integrative biosciences,integrative biosciences,Biology
integrative pathobiology,integrative pathobiology,Biochemistry & Molecular Biology
interdisciplinary computational sciences (ics),compter science,Computer Science; Theory & Methods 
interdisciplinary data science,data science,Computer Science; Information Systems 
interdisciplinary data science (mids),data science,Computer Science; Information Systems 
interdisciplinary disease ecology,disease ecology,Ecology 
interdisciplinary materials sciences,materials science,Materials Science; Multidisciplinary 
interior design,interior design,
international affairs,international affairs,
internet of things (iot),internet of things,
journalism,journalism,Film; Radio; Television
journalism/communication,"journalism, communication ",
kinesiology,kinesiology,Health Care Sciences & Services
language engineering,language engineering,
law,law,Law
learning design and technology,"learning design, learning technology",
learning science,learning science,Psychology; Educational 
learning sciences,learning science,Psychology; Educational 
liberal arts,liberal arts,Humanities; Multidisciplinary
library and information science,"library science, information science",Information Science & Library Science 
library sciences,library science,Information Science & Library Science 
life science,life science,Biology
life sciences,life science,Biology
life-science,life science,Biology
limnology,limnology,Limnology
linguistic science,linguistics,Language & Linguistics; Linguistics
linguistics,linguistics,Language & Linguistics; Linguistics
logic circuit design,logic circuit design,Engineering; Electrical & Electronic 
machine learning,machine learning,Computer Science; Artificial Intelligence
machine learning (ml),machine learning,Computer Science; Artificial Intelligence 
macromolecular dynamics,macromolecular dynamics,Physics; Atomic; Molecular & Chemical 
macromolecular modeling,macromolecular modeling,Physics; Atomic; Molecular & Chemical 
macromolecular science,macromolecular science,Biochemistry & Molecular Biology
magnetics,magnetics,Physics; Fluids & Plasmas 
management,management,Management
management of technology,management of technology,Management
management systems,management systems,Management
manufacturing,manufacturing,Engineering; Manufacturing
marine and climate sciences (mcs),"marine science, climate science",Marine & Freshwater Biology 
marine and environmental sciences,"marine science, environmental science",Marine & Freshwater Biology 
marine biology,marine biology,Marine & Freshwater Biology 
marine policy,marine policy,Marine & Freshwater Biology 
marine science,marine science,Marine & Freshwater Biology
marine sciences,marine science,Marine & Freshwater Biology 
material science,materials science,Materials Science; Multidisciplinary 
material sciences,material science,Materials Science; Multidisciplinary 
materials chemistry,materials chemistry,Chemistry; Physical 
materials engineering,materials engineering,Engineering; Industrial
materials science,materials science,Materials Science; Multidisciplinary 
materials science & engineering,"material science, materials engineering",Materials Science; Multidisciplinary 
materials science and engineering,"material science, materials engineering",Materials Science; Multidisciplinary 
materials science engineering,materials science engineering,Engineering; Industrial
materials synthesis,materials synthesis,Materials Science; Multidisciplinary 
materials synthesis and characterization,"materials synthesis, materials characterization",Materials Science; Multidisciplinary 
math,mathematics,Mathematics
mathematical and physical sciences,"mathematics, physics",Mathematics
mathematical investigation,mathematics,Mathematics
mathematical modeling,mathematical modeling,Mathematics
mathematical science,mathematics,Mathematics
mathematical sciences,mathematics,Mathematics
mathematics,mathematics,Mathematics
mathematics (stem),mathematics,Mathematics
mathematics and physical sciences (mps),"mathematics, physics",Mathematics
mathematics and statistics,"mathematics, statistics",Mathematics
mathematics-statistics,"mathematics, statistics",Mathematics
mathstat,"mathematics, statistics",Mathematics
mechanical & aerospace engineering,"mechanical engineering, aerospace engineering",Engineering; Mechanical 
mechanical and aeronautical engineering,"mechanical engineering, aeronautical engineering",Engineering; Mechanical 
mechanical and aerospace engineering,"mechanical engineering, aerospace engineering",Engineering; Mechanical 
mechanical engineering,mechanical engineering,Engineering; Mechanical 
mechanical systems,mechanical systems,Engineering; Mechanical 
mechanics,mechanics,Engineering; Mechanical 
media arts,media arts,Art 
medical engineering,medical engineering,Engineering; Biomedical 
medical law,medical law,Law 
medical technology,medical technology,Medical Laboratory Technology
medicinal chemistry,medicinal chemistry,Chemistry; Medicinal
medicine,medicine,Medicine; General & Internal
medicine degree programs,medicine,Medicine; General & Internal
membrane science,membrane science,Biophysics 
memory systems,memory systems,
metabolomics,metabolomics,Biophysics 
metallurgical and materials engineering,"metallurgical engineering, materials engineering",Materials Science; Characterization & Testing 
meteorology,meteorology,Meteorology & Atmospheric Sciences
microbial biology,microbial biology,Microbiology
microbial ecology,microbial ecology,Microbiology
microbiology,microbiology,Microbiology
microelectromechanical systems,microelectromechanical systems,Engineering; Electrical & Electronic 
microelectromechanical systems (mems),microelectromechanical systems,Engineering; Electrical & Electronic 
microelectronics,microelectronics,Engineering; Electrical & Electronic 
microscale systems,microsystems,
microsystems,microsystems,
microtechnology,microtechnology,Instruments & Instrumentation
molecular and integrative physiology,"molecular physiology, integrative physiology",Physiology 
molecular biology,molecular biology,Biochemistry & Molecular Biology
molecular biophysics,molecular biophysics,Physiology 
molecular bioscience,molecular bioscience,Biochemistry & Molecular Biology
molecular biosciences,molecular bioscience,Biochemistry & Molecular Biology
molecular engineering,molecular engineering,Engineering; Chemical
molecular genetics,molecular genetics,Biochemistry & Molecular Biology
molecular imaging,molecular imaging,Biochemistry & Molecular Biology
molecular life science,molecular life science,Biochemistry & Molecular Biology
molecular physics,molecular physics,Physics; Particles & Fields 
"molecular, cellular and developmental biology","molecular biology, cellular biology, developmental biology",Biochemistry & Molecular Biology
morphology,morphology,Anatomy & Morphology
morphometrics,morphometrics,Mechanics 
motion science,motion science,Mechanics 
multi-agent systems,multi-agent systems,Computer Science; Cybernetics 
multiculturalism,multiculturalism,Cultural Studies 
multiple biological disciplines,biology,Biology
museum studies,museum studies,Education & Educational Research 
nano-photonics,ophotonics,Optics 
nano-scale engineering,nanoscale engineering,Nanoscience & Nanotechnology 
nanobiosensors,nanobiosensors,Nanoscience & Nanotechnology 
nanobiotechnology,nanobiotechnology,Nanoscience & Nanotechnology 
nanomagnetism,nanomagnetism,Nanoscience & Nanotechnology 
nanomaterials,nanomaterials,Nanoscience & Nanotechnology 
nanomaterials science,nanomaterials science,Nanoscience & otechnology
nanomedicine,nanomedicine,Nanoscience & Nanotechnology 
nanoparticle science,nanoparticle science,Nanoscience & Nanotechnology 
nanoparticulate materials,nanoparticulate materials,Nanoscience & Nanotechnology 
nanoscale engineering,nanoscale engineering,Nanoscience & Nanotechnology 
nanoscale instrumentation,nanoscale instrumentation,Nanoscience & Nanotechnology 
nanoscale materials,nanoscale materials,Nanoscience & Nanotechnology 
nanoscale materials science,nanoscale materials science,Nanoscience & Nanotechnology 
nanoscale science,nanoscience,Nanoscience & Nanotechnology 
nanoscience,nanoscience,Nanoscience & Nanotechnology 
nanotechnology,nanotechnology,Nanoscience & Nanotechnology 
native american studies,native american studies,Cultural Studies 
natural interface science,natural interface science,Environmental Studies 
natural resource management,natural resource management,Operations Research & Management Science
natural resource management studies,natural resource management studies,Operations Research & Management Science
natural resource science,natural resource science,Green & Sustainable Science & Technology
natural resource sciences,natural resource science,Environmental Studies 
natural resources ecology,natural resources ecology,Ecology 
natural resources ecology and management,"natural resources ecology, natural resources management",Ecology 
natural resources management,natural resources management,Green & Sustainable Science & Technology
natural resources science,natural resources science,Green & Sustainable Science & Technology
natural science,natural science,Biology
natural sciences,natural science,Biology
natural systems,natural systems,Biology
