terms from text,consensus categories,broad categories
automotive engineering,automotive engineering,engineering
aviation,aviation,science
basic biomedical science,biomedical science,science
basic biomedical sciences,biomedical science,science
basic science,basic science,science
basic sciences,basic science,science
behavior genetics,behavior genetics,science
behavior science,behavioral science,science
behavioral biology,behavioral biology,science
behavioral genetics,behavioral genetics,science
behavioral science,behavioral science,science
behavioral sciences,behavioral science,science
bio-environmental science,bio-environmental science,science
bio-innovation,bioinnovation,engineering
bio-nanotechnology,bionanotechnology,engineering
biochemical engineering,biochemical engineering,engineering
biochemistry,biochemistry,science
bioengineering,bioengineering,engineering
biofilm engineering,biofilm engineering,engineering
biogeochemistry,biogeochemistry,science
biogeography,biogeography,science
biogeoscience,biogeoscience,science
bioinformatics,bioinformatics,science
biological and environmental engineering,"biological engineering, environmental engineering",
biological disciplines,biology,science
biological engineering,biological engineering,engineering
biological oceanography,biological oceanography,science
biological science,biology,science
biological sciences,biology,science
biological systems engineering,biological systems engineering,engineering
biology,biology,science
biology/biologists,biology,science
biomathematics,biomathematics,mathematics
biomechanics and engineering,"biomechanics, engineering","science, engineering"
biomechanics/anatomy,"biomechanics, anatomy",science
biomedical engineering,biomedical engineering,engineering
biomedical informatics,biomedical informatics,science
biomedical research,biomedicine,science
biomedical science,biomedicine,science
biomedical science and engineering,"biomedicine, biomedical engineering","science, engineering"
biomedical sciences,biomedicine,science
biomedicine,biomedicine,science
biometry,biometry,science
biomolecular engineering,biomolecular engineering,engineering
biomolecular science,biomolecular science,science
biomolecular science & engineering,"biomolecular science, biomolecular engineering","science, engineering"
biophotonics,biophotonics,"science, engineering"
biophysical science,biophysics,science
biophysical sciences,biophysics,science
biophysics,biophysics,science
bioprocess engineering,bioprocess engineering,engineering
biosciences,biology,science
biosystems,biosystems engineering,engineering
biosystems and agricultural engineering,"biosystems engineering, agricultural engineering",engineering
biosystems engineering,biosystems engineering,engineering
biotechnology,biotechnology,engineering
botanical systems,botanical systems,science
botany,botany,science
brain and cognitive science,"brain science, cognitive science",science
brain and cognitive sciences,"brain science, cognitive science",science
business administration,business administration,business
business analytics,business analytics,business
business and entrepreneurship,"business, entrepreneurship",business
cardiovascular physiology,cardiovascular physiology,science
cell and developmental biology,"cell biology, developmental biology",science
cell and molecular neurobiology,"cell neurobiology, molecular neurobiology",science
cell biology,cell biology,science
cellular & molecular mechanics,"cellular mechanics, molecular mechanics","science, engineering"
cellular and developmental biology,"cell biology, developmental biology",science
cellular biology,cell biology,science
cellular engineering,cell engineering,engineering
center for solid state electronics research,solid state electronics,engineering
ceramic engineering,ceramic engineering,engineering
ceramics and materials engineering,"ceramic engineering, materials engineering",engineering
cfd (computational fluid dynamics),computational fluid dynamics,"science, engineering"
chemical and biochemical engineering,"chemical engineering, biochemical engineering",engineering
chemical and biomolecular engineering,"chemical engineering, biomolecular engineering",engineering
chemical and materials engineering,"chemical engineering, materials engineering",engineering
chemical biology,chemical biology,science
chemical ecology,chemical ecology,science
chemical engineering,chemical engineering,engineering
chemical genomics,chemical genomics,science
chemical physics,chemical physics,science
chemical science,chemistry,science
chemical sciences,chemistry,science
"chemical, biochemical and environmental engineering","chemical engineering, biochemical engineering, environmental engineering",engineering
chemistry,chemistry,science
chemistry and biochemistry,"chemistry, biochemistry",science
chemistry of life processes,chemistry of life processes,science
chemistry/pharmaceutics,"chemistry, pharmaceutics",science
chronometry,chronometry,science
civil and environmental engineering,"civil engineering, environmental engineering",engineering
civil engineering,civil engineering,engineering
"civil, environmental, and sustainable engineering","civil engineering, environmental engineering, sustainable engineering",engineering
civil/environmental engineering,"civil engineering, environmental engineering",engineering
climate dynamics,climate dynamics,science
climate modeling,climate modeling,science
climate science,climatology,science
climatology,climatology,science
clinical disciplines,clinical disciplines,science
clinical psychology,clinical psychology,science
coastal and marine system science (cmss),"coastal science, marine system science",science
coastal ocean sciences,coastal ocean science,science
cognitive and linguistic sciences,"cognitive science, linguistics",science
cognitive neuroscience,cognitive neuroscience,science
cognitive psychology,cognitive psychology,science
cognitive science,cognitive science,science
cognitive sciences,cognitive science,science
cold regions research,cold regions research,science
colloid and interface science,"colloid science, interface science",science
communication science,communication science,science
communication science and disorders,"communication science, communication disorders",science
communication sciences,communication science,science
comparative and experimental functional morphology,"comparative morphology, experimental functional morphology",science
comparative neuroscience,comparative neuroscience,science
complex networks and systems (cns),complex networks and systems,science
complex systems,complex systems,science
computational and data sciences,"computational science, data science",science
computational bio-imaging,computational bio-imaging,engineering
computational biology,computational biology,science
computational chemistry,computational chemistry,science
computational data science,computational data science,science
computational engineering,computational engineering,engineering
computational genomics,computational genomics,science
computational materials science,computational materials science,science
computational mathematics,computational mathematics,mathematics
computational molecular biology,computational molecular biology,science
computational neuroscience,computational neuroscience,science
computational phylogenetics,computational phylogenetics,science
computational physiology,computational physiology,science
computational science,computer science,science
computational sciences,computational science,science
computational statistics,computational statistics,science
computer and information science and engineering,"computer science, information science, computer engineering, information engineering","science, engineering"
computer and system sciences,"computer science, system science",science
computer engineering,computer engineering,engineering
computer science,computer science,science
computer science and behavioral science,"computer science, behavioral science",science
computer science and engineering,"computer science, computer engineering","science, engineering"
computer sciences,computer science,science
computer vision,computer vision,science
computer/signal processing,"computer processing, signal processing",engineering
computing science,computer science,science
computing-related disciplines,computer science,science
conservation biology,conservation biology,science
conservation biology and biodiversity assessment,conservation biology,science
conservation science,conservation science,science
controlled environment agriculture systems,controlled environment agriculture systems,science
creative writing,creative writing,art & humanities
crop sciences,crop science,science
cryptography,cryptography,science
cultural studies,cultural studies,art & humanities
cyber-physical systems,cyber-physical systems,engineering
cyber-physical systems (cps),cyber-physical systems,engineering
cybersecurity,cybersecurity,science
cybersecurity education research and outreach center,cybersecurity,science
data analysis,data analytics,science
data analytics,data analytics,science
data science,data science,science
data visualization,data visualization,science
data-enabled science,data science,science
decision science,decision science,science
degree programs in engineering,engineering,engineering
demography,demography,science
design,design,design
development studies,development studies,science
developmental biology,developmental biology,science
developmental studies,developmental studies,science
device engineering,device engineering,engineering
different engineering programs,engineering,engineering
diplomacy,diplomacy,science
distributed data analytics,distributed data analytics,science
earth & environmental engineering,"earth engineering, environmental engineering",engineering
earth & environmental sciences,"earth science, environmental science",science
earth and climate science,"earth science, climate science",science
earth science,earth science,science
earth sciences,earth science,science
earth system science,earth system science,science
earth system science programs,earth system science,science
earth system sciences,earth system science,science
earth systems science,earth system science,science
ecological genetics,ecological genetics,science
ecological modeling,ecological modeling,science
ecology,ecology,science
ecology and evolution,"ecology, evolutionary biology",science
ecology and evolutionary biology,"ecology, evolutionary biology",science
economic science,economics,science
economic sciences,economics,science
economics,economics,science
ecophysiology,ecophysiology,science
ecosystem and environmental science,"ecosystem science, environmental science",science
ecosystem science,ecosystem science,science
ecosystem sciences,ecosystem science,science
education,education science,science
education and human resources,education science,science
education research,education science,science
education science,education science,science
education sciences,education science,science
educational psychology,educational psychology,science
electric engineering,electrical engineering,engineering
electrical & computer engineering,"electrical engineering, computer engineering",engineering
electrical & mechanical engineering,"electrical engineering, mechanical engineering",engineering
electrical and bioengineering,"electrical engineering, bioengineering",engineering
electrical and chemical engineering,"electrical engineering, chemical engineering",engineering
electrical and computer engineering,"electrical engineering, computer engineering",engineering
electrical and computer engineering (ece),"electrical engineering, computer engineering",engineering
electrical and computer systems engineering,"electrical engineering, computer systems engineering",engineering
electrical engineering,electrical engineering,engineering
electronics,electronics,engineering
elemental chemistry,elemental chemistry,science
embryology,embryology,science
energy and environmental policy,"energy policy, environmental policy",science
energy science,energy science,science
engineering,engineering,engineering
engineering (eng),engineering,engineering
engineering and life science,"engineering, life science","engineering, science"
engineering and mathematics,"engineering, mathematics","engineering, mathematics"
engineering design,engineering design,"engineering, design"
engineering disciplines,engineering,engineering
engineering education research,engineering education,science
engineering immunological soft materials,materials engineering,engineering
engineering physics,engineering physics,engineering
engineering research,engineering,engineering
engineering science,engineering,engineering
engineering science and mechanics,"engineering, mechanics","engineering, science"
english,english,art & humanities
entomological biology,entomology,science
entomology,entomology,science
entomology/life sciences,"entomology, life science",science
entrepreneurship,entrepreneurship,business
environment and earth sciences,"environmental science, earth science",science
environmental and natural resources sciences,"environmental science, natural resources science",science
environmental biology,environmental biology,science
environmental conservation,environmental conservation,science
environmental design,environmental design,design
environmental discipline,environmental science,science
environmental economics,environmental economics,science
environmental engineering,environmental engineering,science
environmental ethics,environmental ethics,art & humanities
environmental health,environmental health,science
environmental management,environmental management,science
environmental manufacturing management,environmental manufacturing management,science
environmental microbiology,environmental microbiology,science
environmental modeling and prediction,environmental modeling,science
environmental policy,environmental policy,science
environmental science,environmental science,science
environmental science and engineering,"environmental science, environmental engineering","science, engineering"
environmental science policy,environmental policy,science
environmental sciences,environmental science,science
environmental social sciences,environmental social science,science
environmental sociology,environmental sociology,science
environmental studies,environmental studies,science
environmental systems,environmental systems,science
epidemiology,epidemiology,science
ethical domains,ethics,art & humanities
ethics,ethics,art & humanities
ethnography,ethnography,science
evolutionary and developmental biology,"evolutionary biology, developmental biology",science
evolutionary biology,evolutionary biology,science
evolutionary developmental biology,evolutionary developmental biology,science
evolutionary ecology,evolutionary ecology,science
evolutionary primatology,evolutionary primatology,science
evolutionary research,evolutionary research,science
exercise science,exercise science,science
exercise sciences,exercise science,science
experimental psychology,experimental psychology,science
federal policy,federal policy,science
fisheries,fisheries,science
fisheries science,fisheries,science
flexible electronics,flexible electronics,engineering
flexible neural electronics,flexible neural electronics,engineering
food biochemistry,food biochemistry,science
food science,food science,science
forensic engineering,forensic engineering,engineering
forensics,forensics,science
forest ecology,forest ecology,science
forest ecology and management,"forest ecology, forest management",science
forest ecosystems,forest ecosystems,science
forest management,forest management,science
forest resources,forestry,science
forestry,forestry,science
forestry and wildlife sciences,"forestry, wildlife science",science
freshwater ecology,freshwater ecology,science
functional anatomy and evolution,"functional anatomy, evolution",science
functional genomics,functional genomics,science
game design,game design,design
game theory,game theory,science
genetic engineering,genetic engineering,engineering
genetic engineering and society (minor),genetic engineering,engineering
genetics,genetics,science
genetics (molecular and population),"molecular genetics, population genetics",science
genome biology,genome biology,science
genome informatics,genome informatics,science
genome sciences,genome science,science
genomic sciences,genome science,science
genomics,genomics,science
genomics and biology,"genomics, biology",science
genomics research,genomics,science
geoarchaeology,geoarchaeology,science
geochemistry,geochemistry,science
geographic information science,geographic information science,science
geographic information science (giscience),geographic information science,science
geography,geography,science
geography and environmental systems,"geography, environmental systems",science
geoinformatics,geoinformatics,science
geological engineering,geological engineering,engineering
geological science,geology,science
geological sciences,geology,science
geology,geology,science
geology/geochemists,geology,science
geometry,geometry,mathematics
geomicrobiology,geomicrobiology,science
geophysics,geophysics,science
geoscience,geoscience,science
geosciences,geoscience,science
german,german,art & humanities
health and behavioral sciences,"health science, behavioral science",science
health science,health science,science
health sciences,health science,science
high performance computing,high performance computing,science
high-performance computing,high performance computing,science
history,history,art & humanities
holographics,holographics [I BELIEVE THAT CORRECT TERM SHOULD BE HOLOGRAPHY],science
hominid paleobiology,hominid paleobiology,science
horticulture,horticulture,science
human centered design,human centered design,design
human centered design & engineering,"human centered design, human centered engineering","design, engineering"
human dimensions of natural resource management,natural resource management,science
human evolution,human evolution,science
human factors/industrial organizational psychology,industrial organizational psychology,science
human genetics,human genetics,science
human resources,human resources,business
human-centered science,human-centered science,science
human-computer interaction,human-computer interaction,design
humanitarian engineering,humanitarian engineering,engineering
humanities,humanities,art & humanities
hydrodynamics,hydrodynamics,"science, engineering"
hydrology,hydrology,science
hydrology and atmospheric sciences,"hydrology, atmospheric science",science
hydrology science,hydrology,science
imaging science,imaging science,science
immunology,immunology,science
indigenous studies,indigenous studies,art & humanities
indoor environmental science and engineering,"indoor environmental science, indoor environmental engineering","science, engineering"
industrial and systems engineering,"industrial engineering, systems engineering",engineering
industrial design,industrial design,design
industrial engineering,industrial engineering,engineering
infectious disease epidemiology,infectious disease epidemiology,science
informatics,informatics,science
information engineering,information engineering,engineering
information science,information science,science
information science and technology,"information science, information technology","science, engineering"
information sciences,information science,science
information sciences and technology,"information science, information technology","science, engineering"
information security,information security,science
information systems,information systems,engineering
information technology,information technology,engineering
infotechnology,infotechnology,engineering
infrastructure engineering,infrastructure engineering,engineering
insect biology,insect biology,science
instruments and observational science,instruments science,science
integrated coastal science,integrated coastal science,science
integrative bioscience,integrative bioscience,science
integrative biosciences,integrative biosciences,science
integrative pathobiology,integrative pathobiology,science
interdisciplinary computational sciences (ics),compter science,science
interdisciplinary data science,data science,science
interdisciplinary data science (mids),data science,science
interdisciplinary disease ecology,disease ecology,science
interdisciplinary materials sciences,materials science,science
interior design,interior design,design
international affairs,international affairs,science
internet of things (iot),internet of things,engineering
journalism,journalism,art & humanities
journalism/communication,"journalism, communication ",art & humanities
kinesiology,kinesiology,science
language engineering,language engineering,engineering
law,law,art & humanities
learning design and technology,"learning design, learning technology",design
learning science,learning science,science
learning sciences,learning science,science
liberal arts,liberal arts,art & humanities
liberal arts,liberal arts,art & humanities
library and information science,"library science, information science",science
library sciences,library science,science
life science,life science,science
life sciences,life science,science
life-science,life science,science
limnology,limnology,science
linguistic science,linguistics,science
linguistics,linguistics,science
logic circuit design,logic circuit design,engineering
machine learning,machine learning,science
machine learning (ml),machine learning,science
macromolecular dynamics,macromolecular dynamics,"science, engineering"
macromolecular modeling,macromolecular modeling,"science, engineering"
macromolecular science,macromolecular science,science
magnetics,magnetics,"science, engineering"
management,management,business
management of technology,management of technology,business
management systems,management systems,business
manufacturing,manufacturing,engineering
marine and climate sciences (mcs),"marine science, climate science",science
marine and environmental sciences,"marine science, environmental science",science
marine biology,marine biology,science
marine policy,marine policy,science
marine science,marine science,science
marine sciences,marine science,science
material science,materials science,science
material sciences,material science,science
materials chemistry,materials chemistry,science
materials engineering,materials engineering,engineering
materials science,materials science,science
materials science & engineering,"material science, materials engineering","science, engineering"
materials science and engineering,"material science, materials engineering","science, engineering"
materials science engineering,materials science engineering,engineering
materials synthesis,materials synthesis,"science, engineering"
materials synthesis and characterization,"materials synthesis, materials characterization","science, engineering"
math,mathematics,mathematics
mathematical and physical sciences,"mathematics, physics","mathematics, science"
mathematical investigation,mathematics,mathematics
mathematical modeling,mathematical modeling,mathematics
mathematical science,mathematics,mathematics
mathematical sciences,mathematics,mathematics
mathematics,mathematics,mathematics
mathematics (stem),mathematics,mathematics
mathematics and physical sciences (mps),"mathematics, physics","mathematics, science"
mathematics and statistics,"mathematics, statistics","mathematics, science"
mathematics-statistics,"mathematics, statistics","mathematics, science"
mathstat,"mathematics, statistics","mathematics, science"
mechanical & aerospace engineering,"mechanical engineering, aerospace engineering",engineering
mechanical and aeronautical engineering,"mechanical engineering, aeronautical engineering",engineering
mechanical and aerospace engineering,"mechanical engineering, aerospace engineering",engineering
mechanical engineering,mechanical engineering,engineering
mechanical systems,mechanical systems,engineering
mechanics,mechanics,science
media arts,media arts,art & humanities
medical engineering,medical engineering,engineering
medical law,medical law,art & humanities
medical technology,medical technology,engineering
medicinal chemistry,medicinal chemistry,science
medicine,medicine,science
medicine degree programs,medicine,science
membrane science,membrane science,science
memory systems,memory systems,science
metabolomics,metabolomics,science
metallurgical and materials engineering,"metallurgical engineering, materials engineering",engineering
meteorology,meteorology,science
microbial biology,microbial biology,science
microbial ecology,microbial ecology,science
microbiology,microbiology,science
microelectromechanical systems,microelectromechanical systems,engineering
microelectromechanical systems (mems),microelectromechanical systems,engineering
microelectronics,microelectronics,engineering
microscale systems,microsystems,engineering
microsystems,microsystems,engineering
microtechnology,microtechnology,engineering
molecular and integrative physiology,"molecular physiology, integrative physiology",science
molecular biology,molecular biology,science
molecular biophysics,molecular biophysics,science
molecular bioscience,molecular bioscience,science
molecular biosciences,molecular bioscience,science
molecular engineering,molecular engineering,engineering
molecular genetics,molecular genetics,science
molecular imaging,molecular imaging,engineering
molecular life science,molecular life science,science
molecular physics,molecular physics,science
"molecular, cellular and developmental biology","molecular biology, cellular biology, developmental biology",science
morphology,morphology,science
morphometrics,morphometrics,science
motion science,motion science,science
multi-agent systems,multi-agent systems,engineering
multiculturalism,multiculturalism,art & humanities
multiple biological disciplines,biology,science
museum studies,museum studies,art & humanities
nano-photonics,nanophotonics,"science, engineering"
nano-scale engineering,nanoscale engineering,engineering
nanobiosensors,nanobiosensors,"science, engineering"
nanobiotechnology,nanobiotechnology,engineering
nanomagnetism,nanomagnetism,"science, engineering"
nanomaterials,nanomaterials,science
nanomaterials science,nanomaterials science,science
nanomedicine,nanomedicine,science
nanoparticle science,nanoparticle science,science
nanoparticulate materials,nanomaterials,science
nanoscale engineering,nanoscale engineering,engineering
nanoscale instrumentation,nanoscale instrumentation,engineering
nanoscale materials,nanomaterials science,science
nanoscale materials science,nanoscale materials science,science
nanoscale science,nanoscience,science
nanoscience,nanoscience,science
nanotechnology,nanotechnology,engineering
native american studies,native american studies,art & humanities
natural interface science,natural interface science,science
natural resource management,natural resource management,science
natural resource management studies,natural resource management studies,science
natural resource science,natural resource science,science
natural resource sciences,natural resource science,science
natural resources ecology,natural resources ecology,science
natural resources ecology and management,"natural resources ecology, natural resources management",science
natural resources management,natural resources management,science
natural resources science,natural resources science,science
natural science,natural science,science
natural sciences,natural science,science
natural systems,natural systems,science
network management computation,network management computation,engineering
network modeling,network modeling,science
network systems,network systems,science
neural basis of cognition,cognitive science,science
neural science,neuroscience,science
neural sciences,neural science,science
neural systems engineering,neural systems engineering,engineering
neurobiology,neurobiology,science
neurobiology & behavior,"neurobiology, behavior science",science
neurobiology and behavior,neurobiology,science
neuroengineering,neuroengineering,engineering
neuromechanics,neuromechanics,engineering
neuromorphic computing,neuromorphic computing,engineering
neurophysiology,neurophysiology,science
neuroscience,neuroscience,science
nitrogen science,nitrogen science,science
nonlinear science,nonlinear science,science
number theory,number theory,mathematics
nutrition,nutrition,science
ocean science,ocean science,science
oceanography,oceanography,science
operations research,operations research,engineering
operations research and industrial engineering,"operations research, industrial engineering",engineering
optical engineering,optical engineering,engineering
optical molecular bio-engineering,"optical engineering, molecular engineering, bio engineering",engineering
optical physics,optical physics,science
optical science,optical science,science
optics,optical science,science
optics and imaging,"optics, imaging","science, engineering"
organic chemistry,organic chemistry,science
organic electronics,organic electronics,engineering
organismal biology,organismal biology,science
organizational science,organizational science,science
paleoclimatology,paleoclimatology,science
paleoecology,paleoecology,science
paleontology,paleontology,science
parasitology,parasitology,science
particle physics,particle physics,science
patent law,patent law,art & humanities
pathogen biology,pathogen biology,science
pathology,pathology,science
perceptual and cognitive neuroscience,"perceptual neuroscience, cognitive neuroscience",science
perceptual science,perceptual science,science
pharmaceutical science,pharmaceutical science,science
pharmaceutics,pharmaceutics,science
pharmacological science,pharmacology,science
pharmacological sciences,pharmacology,science
pharmacology,pharmacology,science
phenology,phenology,science
phenotypic studies,phenotypic studies,science
philosophy,philosophy,art & humanities
philosophy of science,philosophy of science,art & humanities
photobiology,photobiology,science
photonics,photonics,"science, engineering"
phylogenetic analysis,phylogenetics,science
phylogenetics,phylogenetics,science
physical and life science,"physical science, life science",science
physical anthropology,physical anthropology,science
physical biosciences,physical biosciences,science
physical electronics,physical electronics,engineering
physical organic chemistry,physical organic chemistry,science
physical science,physics,science
physical sciences,physics,science
physics,physics,science
physics and astronomy,"physics, astronomy",science
physics of cell structures,cell structure physics,science
physiological modeling,physiological modeling,science
physiology,physiology,science
physiology and biophysics,"physiology, biophysics",science
phytopathology,phytopathology,science
plant and soil science,"plant science, soil science",science
plant and soil sciences,"plant science, soil science",science
plant biology,plant biology,science
plant biotechnology,plant biotechnology,engineering
plant breeding,plant breeding,science
plant development,plant development,science
plant genetics,plant genetics,science
plant pathology,plant pathology,science
plant science,plant science,science
plant science research,plant science,science
plant sciences,plant science,science
polar sciences,polar science,science
political economy,political economy,science
political science,political science,science
polymer design,polymer design,"science, engineering"
polymer engineering,polymer engineering,engineering
polymer science,polymer science,science
polymer science and engineering,"polymer science, polymer engineering","science, engineering"
population biology,population biology,science
population dynamics,population dynamics,science
population genetics,population genetics,science
population health sciences,population health science,science
population science,population science,science
power electronics and controls,power electronics,engineering
preventive medicine,preventive medicine,science
primatology,primatology,science
process engineering,process engineering,engineering
product design,product design,design
product development,product development,engineering
product engineering,product engineering,engineering
protein engineering,protein engineering,engineering
proteomics,proteomics,science
psychological science,psychology,science
psychological sciences,psychology,science
psychology,psychology,science
psychophysics,psychophysics,science
public affairs,public affairs,science
public health,public health,science
public policy,public policy,science
public policy/government,"public policy, government",science
public science (minor),public science,science
pure and applied mathematics,"pure mathematics, applied mathematics",mathematics
qise (quantum information science and engineering),"quantum information science, quantum information engineering","science, engineering"
quantitative biology,quantitative biology,science
quantum computing,quantum computing,science
quantum engineering,quantum engineering,engineering
quantum photonics,quantum photonics,science
quantum science,quantum science,science
quantum sciences,quantum science,science
radio frequency engineering,radio frequency engineering,engineering
radiochemistry,radiochemistry,science
rangeland science,rangeland science,science
regenerative biology,regenerative biology,science
regenerative medicine,regenerative medicine,science
rehabilitation and movement science (arms),"rehabilitation science, movement science",science
rehabilitation sciences,rehabilitation science,science
rehabilitation therapy education,rehabilitation therapy education,science
relationship science,relationship science,science
reproductive ecology,reproductive ecology,science
resource economics,resource economics,science
resource management,resource management,science
robotic engineering,robotics engineering,engineering
robotics,robotics,"science, engineering"
robotics engineering,robotics engineering,engineering
rural sociology,rural sociology,science
science,science,science
science and engineering,"science, engineering","science, engineering"
"science, technology, engineering, and mathematics (stem)","science, technology, engineering, mathematics","science, engineering, mathematics"
sciences,science,science
scientific computation science,scientific computation science,science
semiconductor engineering,semiconductor engineering,engineering
semiconductor technology,semiconductor technology,engineering
sensor electronics,sensor electronics,engineering
sensor engineering,sensor engineering,engineering
sensor physics,sensor physics,science
sensor science,sensor science,science
sensory biology,sensory biology,science
small-scale hydrodynamics,hydrodynamics,"science, engineering"
social and behavioral sciences,"social science, behavioral science",science
social and behavioral sciences (sbe),"social science, behavioral science",science
social behavioral science,social behavioral science,science
social behavioral sciences,social behavioral science,science
social computer sciences,social computing science,science
social data analytics,social data analytics,science
social science,social science,science
social sciences,social science,science
"social, behavioral, and economic sciences","social science, behavioral science, economics",science
social/environmental ethics & policy,"social ethics, social policy, environmental ethics, environmental policy","science, art & humanities"
socio-environmental systems science,socio-environmental systems science,science
sociology,sociology,science
sociology & social policy,"sociology, social policy",science
software engineering,software engineering,engineering
soil and crop science,"soil science, crop science",science
soil and crop sciences,"soil science, crop science",science
soil science,soil science,science
soil science and zoology,"soil science, zoology",science
soils sciences,soil science,science
solid state physics,solid state physics,science
spanish,spanish,art & humanities
spatial and temporal modeling,"spatial modeling, temporal modeling",science
spatial science,spatial science,science
spatial sciences,spatial science,science
special education,special education,science
speech-language-hearing,speech-language-hearing science,science
speech-language-hearing science,speech-language-hearing science,science
speech-language-hearing sciences,speech-language-hearing science,science
statistical science,statistics,science
statisticics,statistics,science
statistics,statistics,science
statistics and probability,"statistics, probability",science
stem,"science, technology, engineering, mathematics","science, engineering, mathematics"
"stem (science, technology, engineering, and math)","science, technology, engineering, mathematics","science, engineering, mathematics"
"stem (science, technology, engineering, and mathematics)","science, technology, engineering, mathematics","science, engineering, mathematics"
stem cell biology,stem cell biology,science
stem education,stem education,science
stem fields,"science, technology, engineering, mathematics","science, engineering, mathematics"
stem programs,"science, technology, engineering, mathematics","science, engineering, mathematics"
structural biology,structural biology,science
structural engineering,structural engineering,engineering
studies in health sciences,health science,science
supply-chain management,supply-chain management,business
surgery,surgery,science
sustainability science,sustainability science,science
sustainable development,sustainable development,science
sustainable engineering,sustainable engineering,engineering
synthesis and surface functionalization and characterization of nanostructures,nanostructure science,science
synthetic chemistry,synthetic chemistry,science
system engineering,system engineering,engineering
system science,systems science,science
systematics,systematics,science
systems and information engineering,"systems engineering, information engineering",engineering
systems biology,systems biology,science
systems biology and bioengineering,"systems biology, bioengineering","science, engineering"
systems engineering,systems engineering,engineering
systems integration,systems integration,engineering
systems modeling,systems modeling,science
systems neuroscience,systems neuroscience,science
team science,team science,science
technology,technology,engineering
technology arts,technology arts,art & humanities
theater,theater,art & humanities
theoretical and applied mechanics,"theoretical mechanics, applied mechanics",science
theoretical chemistry,theoretical chemistry,science
theoretical computational modeling,theoretical computational modeling,science
theoretical mechanics,theoretical mechanics,science
thermal biology,thermal biology,science
thermal engineering,thermal engineering,engineering
tissue engineering,tissue engineering,engineering
toxicology,toxicology,science
transportation engineering,transportation engineering,engineering
transportation planning,transportation planning,engineering
transportation science,transportation science,science
tree-ring studies,tree-ring studies,science
urban affairs and planning,"urban affairs, urban planning",science
urban ecological systems,urban ecological systems,science
urban ecology,urban ecology,science
urban ecosystem management,urban ecosystem management,science
urban planning,urban planning,science
urban policy planning,urban policy planning,science
urban studies,urban studies,science
urban studies and planning,"urban studies, urban planning",science
user experience design,user experience design,design
veterinary medicine,veterinary medicine,science
video art,video art,art & humanities
video art and interactive installations,"video art, interactive installations",art & humanities
visual arts,visual arts,art & humanities
visual design,visual design,design
water resources management,water resources management,science
water systems,water systems,science
watershed science,watershed science,science
watershed sciences,watershed science,science
wildlife conservation,wildlife conservation,science
wildlife science,wildlife science,science
wood science and forest products,wood science,science
zoology,zoology,science
